Data.Documentation.10.5067/NIMBUS/NmIcEdg2,NmIcEdg2,Ice Edge Points from Nimbus Visible Imagery L2,version=1,source=final\savNC640830.edit.txt
longitude, latitude, File_name, EdgeType, ishift, jshift, (Analyst)
12.67,81.73,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,2,0,0,ggc
12.1,81.74,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,2,0,0,ggc
10.64,81.72,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,2,0,0,ggc
10.28,81.71,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,2,0,0,ggc
9.72,81.69,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,2,0,0,ggc
9.45,81.69,NmAVCS1H.74.03.1964.01.246.07.29.05.01.02.924.937.924.937.52.hdf,2,0,0,ggc
11.48,82.17,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.65,82.06,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.47,82.03,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.37,81.99,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.58,81.91,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.89,81.83,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.95,81.69,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
11.17,81.67,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.97,81.58,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
10.74,81.57,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
9.96,81.5,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
9.16,81.44,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
8.91,81.42,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
8.64,81.4,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
8.34,81.39,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
8.03,81.39,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
7.58,81.41,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
7.23,81.39,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
6.43,81.39,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
6.22,81.41,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
5.94,81.37,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
5.69,81.33,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
5.38,81.26,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
5.31,81.24,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
5.14,81.21,NmAVCS1H.57.02.1964.01.245.05.15.25.01.02.919.949.919.1223.27.hdf,2,0,0,ggc
12.124551,77.77193,NmAVCS1H.57.01.1964.01.245.05.15.25.01.01.910.940.942.1266.02.hdf,-1,0,0,ggc
358.41968,81.229546,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,-1,0,0,ggc
351.0019,81.18769,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,-1,0,0,ggc
353.22974,80.96002,NmAVCS1H.89.03.1964.01.247.09.43.41.01.02.916.946.916.1048.69.hdf,-1,0,0,ggc
354.93,80.06,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
355.0,80.08,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
354.96,80.19,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
354.64,80.3,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
354.14,80.37,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.77,80.48,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.65,80.58,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.43,80.69,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.33,80.79,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.42,80.89,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.49,80.94,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.65,81.05,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.93,81.17,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
354.11,81.26,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.8,81.37,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.42,81.44,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
353.09,81.54,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
352.8,81.62,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
352.43,81.75,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
352.33,81.86,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
352.15,81.97,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
351.98,82.08,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,2,126,27,ggc
